,店名・会社名・建物名・個人住宅,住所,"緯度経度位置情報
Geo3×3情報",icon
1,杉原商店,越前市不老町17-2,E913849981874716,1.jpg
2,山一製紙,越前市不老町15-17,E913849981767259,2.jpg
3,山田兄弟製紙,越前市不老町15-4,E913849981729944,3.jpg
4,真柄紙加工所,越前市不老町13-20,E913849981459763,4.jpg
5,水上製紙,越前市不老町21-2,E913849981462692,5.jpg
7,山崎吉左衛門,越前市不老町14-27,E913849973922922,7.jpg
8,山口漉込加工所,越前市不老町6-47,E913849973967588,8.jpg
9,石川製紙,越前市大滝町11-13,E913849981983666,18.jpg
10,三田村製紙所,越前市大滝町12-13-12,E913849981993725,19.jpg
11,越前製紙工場,越前市大滝町12-5,E913849981996316,20.jpg
12,山木製紙所,越前市大滝町12-8-5,E913849982772533,22.jpg
13,山久製紙所,越前市大滝町23-3,E913849982841443,24.jpg
14,滝製紙所,越前市大滝町27-30,E913849981961165,25.jpg
15,岩野市兵衛製紙所,越前市大滝町31-6,E913849982417869,29.jpg
16,山喜製紙所,越前市大滝町31-20,E913849982445274,31.jpg
17,山口製紙,越前市大滝町31-26,E913849982447215,32.jpg
18,山次製紙,越前市大滝町29-5,E913849982448572,33.jpg
19,旧梅田和紙,越前市大滝町30-2,E913849982471381,34.jpg
20,岩野平三郎製紙所,越前市大滝町27-4,E913849981698174,35.jpg
21,山路製紙所,越前市大滝町29-30-1,E913849981933196,36.jpg
22,長田製紙所,越前市大滝町29-39,E913849981933832,37.jpg
23,山口荘八製紙所,越前市大滝町29-30,E913849982711962,38.jpg
24,やなせ和紙,越前市大滝町24-21,E913849982716242,39.jpg
25,石甚製紙所,越前市大滝町23-23-2,E913849982756113,41.jpg
26,小畑製紙所,越前市大滝町23-22,E913849982755228,42.jpg
27,山川製紙所,越前市大滝町25-5,E913849982745122,44.jpg
28,柳瀬良三製紙所,越前市岩本町10-1,E913849981889517,49.jpg
29,五十嵐製紙,越前市岩本町12-14,E913849981978864,53.jpg
30,岩六製紙所,越前市岩本町17-24,E913849981997739,58.jpg
31,TAKI PAPER,越前市岩本町2-26,E913849984137263,66.jpg
32,清水紙工,越前市新在家町11-11,E913849984295176,71.jpg
33,卯立の工芸館,越前市新在家町9-21-2,E913849984515174,75.jpg
34,清水和紙,越前市新在家町10-2,E913849984521178,77.jpg
35,新在家製紙所,越前市新在家町14-18,E913849984371815,79.jpg
36,加藤紙工所,越前市新在家町13-9,E913849984533872,82.jpg
37,清水製紙所,越前市新在家町12-13,E913849984563549,83.jpg
38,山丸製紙所,越前市新在家町12-8,E913849984566159,84.jpg
39,登録文化財信洋舎,越前市定友町2-15,E913849984914819,95.jpg
40,福井特殊紙,越前市定友町13-7,E913849984899185,97.jpg
137,山口和紙,越前市新在家町2-52-1,E913849984491993,137.jpg
